ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
4873,https://www.goodschools.com.au/compare-schools/in-diwan-4873/alexandra-bay-state-school,Alexandra Bay State School,"Diwan, QLD",Diwan,Government,p
4161,https://www.goodschools.com.au/compare-schools/in-alexandra-hills-4161/alexandra-hills-state-high-school,Alexandra Hills State High School,"Alexandra Hills, QLD",Alexandra Hills,Government,s
4161,https://www.goodschools.com.au/compare-schools/in-alexandra-hills-4161/alexandra-hills-state-school,Alexandra Hills State School,"Alexandra Hills, QLD",Alexandra Hills,Government,p
4226,https://www.goodschools.com.au/compare-schools/in-merrimac-4226/all-saints-anglican-school,All Saints Anglican School,"Merrimac, QLD",Merrimac,Independent,c
4820,https://www.goodschools.com.au/compare-schools/in-charters-towers-4820/all-souls-st-gabriels-school,All Souls St Gabriels School,"Charters Towers, QLD",Charters Towers,Independent,c
4700,https://www.goodschools.com.au/compare-schools/in-allenstown-4700/allenstown-state-school,Allenstown State School,"Allenstown, QLD",Allenstown,Government,p
4740,https://www.goodschools.com.au/compare-schools/in-alligator-creek-4740/alligator-creek-state-school,Alligator Creek State School,"Alligator Creek, QLD",Alligator Creek,Government,p
4362,https://www.goodschools.com.au/compare-schools/in-allora-4362/allora-p-10-state-school,Allora P-10 State School,"Allora, QLD",Allora,Government,c
4670,https://www.goodschools.com.au/compare-schools/in-alloway-4670/alloway-state-school,Alloway State School,"Alloway, QLD",Alloway,Government,p
4871,https://www.goodschools.com.au/compare-schools/in-aloomba-4871/aloomba-state-school,Aloomba State School,"Aloomba, QLD",Aloomba,Government,p
4724,https://www.goodschools.com.au/compare-schools/in-alpha-4724/alpha-state-school,Alpha State School,"Alpha, QLD",Alpha,Government,c
4115,https://www.goodschools.com.au/compare-schools/in-algester-4115/algester-state-school,Algester State School,"Algester, QLD",Algester,Government,p
4570,https://www.goodschools.com.au/compare-schools/in-amamoor-4570/amamoor-state-school,Amamoor State School,"Amamoor, QLD",Amamoor,Government,p
